Run_Number Number_of_Events Sampled_Luminosity Prescale Livetime
15119056 82281 2.97528824073873 1.00000000 0.877158756556224
15119057 53427 1.95509388718881 1.00000000 0.683624638534176
15119058 50996 1.86290378089092 1.00000000 0.69675233293711
15119059 10667 0.387225155636102 1.00000000 0.594129441907096
15119060 0 0 1.00000000 0
15119061 15915 0.57151727320094 1.00000000 0.839088943955291
15119063 51814 1.88418506662201 1.00000000 0.694067410917463
15119064 34002 1.2349806010528 1.00000000 0.788689923919094
15119065 47549 1.7267913677343 1.00000000 0.766042113064072
15120001 45392 1.63600538308667 1.00000000 0.799323800802987
15120002 44452 1.59112076733801 1.00000000 0.815528280771277
15120004 46878 1.69114231934403 1.00000000 0.781625677365569
15120005 44727 1.59797114281995 1.00000000 0.787142304037169
15120006 39086 1.3924885732311 1.00000000 0.817989661595128
15120007 38630 1.38609390736366 1.00000000 0.844648518639991
15120008 36767 1.31685027703847 1.00000000 0.844810551228143
15120009 35545 1.27616126378178 1.00000000 0.857787538008591
15120011 16791 0.594865139810395 1.00000000 0.912455167916531
15120105 110032 3.57213672094321 1.00000000 0.808286197017557
15120106 118960 3.93354115101755 1.00000000 0.810768444368717
15120108 90335 3.0745209366236 1.00000000 0.800584381087303
15120109 85935 3.01013107537133 1.00000000 0.838349348812253
15120115 34198 1.22301011037709 1.00000000 0.728528060041321
15120116 69242 2.4957648954767 1.00000000 0.859220469802822
15120117 24322 0.878161862998083 1.00000000 0.64197856728079
15121001 47678 1.72378884478504 1.00000000 0.688147677741535
15121002 47447 1.74009911198197 1.00000000 0.689887313704108
15121003 45539 1.67166844709056 1.00000000 0.6919769032062
15121004 47043 1.72486755938336 1.00000000 0.763077222519585
15121005 12457 0.467359477385681 1.00000000 0.694679901851439
15121006 44665 1.65169738052113 1.00000000 0.790363108720272
15121007 41999 1.54357749793696 1.00000000 0.786134092015124
15121008 45082 1.66022491750553 1.00000000 0.802613541277217
15121009 40592 1.48385356068617 1.00000000 0.81196991518643
15121010 17094 0.627682933925288 1.00000000 0.693698035907941
15121012 38459 1.39950687049833 1.00000000 0.824734088179791
15121013 39560 1.43299699397929 1.00000000 0.830221532264832
15121015 29115 1.05326438925521 1.00000000 0.837432047631375
15121016 35570 1.28601013605308 1.00000000 0.847086280393418
15121017 33607 1.21860879036985 1.00000000 0.845203963583321
15121018 41727 1.49002372517349 1.00000000 0.85569272414076
15121060 1 4.06271335535088e-06 1.00000000 1.21195080449294e-06
15121061 23198 0.787404602228298 1.00000000 0.829240393208222
15121062 5 0.000295661510120833 1.00000000 1.45952162719147e-05
15121063 41039 1.3897786653396 1.00000000 0.605920129918063
15121065 52807 1.81236354955186 1.00000000 0.578992379803739
15121066 51609 1.81866010608252 1.00000000 0.592315019912545
15121067 39844 1.41495485983429 1.00000000 0.661651638187283
15121068 52496 1.88679220135294 1.00000000 0.608261398528475
15121070 49498 1.79631185608185 1.00000000 0.611720796875772
15121071 50301 1.84733823885274 1.00000000 0.631046768366118
15121072 49169 1.80463247334707 1.00000000 0.658043361884368
15121075 9091 0.33688701426128 1.00000000 0.707525877500195
15121076 49037 1.8192559712678 1.00000000 0.739995171123317
15121077 43734 1.6199566484397 1.00000000 0.757285588128344
15121078 46377 1.70495367245449 1.00000000 0.770961688559709
15122003 41269 1.50014317047861 1.00000000 0.778307936028968
15122004 39165 1.40021009003249 1.00000000 0.801247954173486
15122006 40022 1.43147589423992 1.00000000 0.808312968311353
15122008 37773 1.35146436516978 1.00000000 0.829428427131596
15122010 35838 1.26925088373804 1.00000000 0.830452312540551
15122011 21294 0.748619646142782 1.00000000 0.771138873800471
15122017 138254 4.58586785023023 1.00000000 0.719798011348847
15122018 127019 4.38729554383899 1.00000000 0.770869367319071
15122019 107188 3.81338980376334 1.00000000 0.775776123398375
15122020 108544 3.94082745150898 1.00000000 0.809910387178129
15122023 13367 0.487627563026714 1.00000000 0.720127141471824
15122026 24232 0.89436711985059 1.00000000 0.814493630466203
15122027 11009 0.404063696094544 1.00000000 0.855865661198787
15122030 6189 0.226792959132898 1.00000000 0.662421063898106
15122031 54924 2.05682620034342 1.00000000 0.734170108673858
15122034 51460 1.96529435662695 1.00000000 0.668042736041334
15122039 66489 2.49684498290845 1.00000000 0.653962290131896
15122041 63664 2.39414538922229 1.00000000 0.680767338908018
15122042 63585 2.41079306012398 1.00000000 0.716563739632167
15122043 4570 0.172822714904911 1.00000000 0.322785704195508
15122044 45633 1.735092149608 1.00000000 0.69743237047226
15122045 520 0.0194945403130356 1.00000000 0.0587172538392051
15122046 55651 2.06696931956802 1.00000000 0.89777218538773
15122047 44505 1.65421038759279 1.00000000 0.876842146741272
15122048 13223 0.493013356807701 1.00000000 0.894594411744807
15122049 10031 0.37887141873609 1.00000000 0.808690744920993
15122056 105389 3.52517304021354 1.00000000 0.650740333674994
15122057 93693 3.17998628231318 1.00000000 0.686111395890391
15122058 91646 3.18376058491799 1.00000000 0.650610877235328
15122059 98119 3.44184969136212 1.00000000 0.717723648599225
15122060 85890 3.06770774759264 1.00000000 0.759870836466581
15122061 93620 3.4028055238554 1.00000000 0.818938068579426
15122062 47557 1.74788790366735 1.00000000 0.686614787115776
15122063 44474 1.62601020303513 1.00000000 0.676925418569254
15122064 45255 1.66435308202872 1.00000000 0.696466496352612
15122065 40334 1.48224103718052 1.00000000 0.596930545072444
15123001 46397 1.69919032985839 1.00000000 0.655380399468881
15123002 49119 1.81313533027808 1.00000000 0.62827285401824
15123003 46143 1.70270201784737 1.00000000 0.681424162322607
15123004 19020 0.695446591302166 1.00000000 0.29000533658611
15123005 2942 0.108906317596063 1.00000000 0.169216611066375
15123006 36423 1.32819709594357 1.00000000 0.714638883983754
15123009 47349 1.72642844183896 1.00000000 0.753880936838251
